Date,Open,High,Low,Close,Volume
2021-02-02,140.76,158.0,74.22,90.0,"78,183,070"
2021-02-03,112.01,113.4,85.25,92.41,"42,698,512"
2021-02-04,91.19,91.5,53.33,53.5,"62,427,281"
2021-02-05,54.04,95.0,51.09,63.77,"81,345,008"
2021-02-08,72.41,72.66,58.02,60.0,"25,687,279"
2021-02-09,56.61,57.0,46.52,50.31,"26,843,080"
2021-02-10,50.77,62.83,46.55,51.2,"36,455,039"
2021-02-11,50.01,55.32,48.22,51.1,"13,056,730"
2021-02-12,50.75,55.24,48.05,52.4,"14,573,260"
2021-02-16,52.66,53.5,49.04,49.51,"8,175,030"
2021-02-17,49.77,51.19,44.56,45.94,"9,260,795"
2021-02-18,48.49,48.87,40.65,40.69,"23,990,561"
2021-02-19,41.28,43.89,38.5,40.59,"14,828,240"
2021-02-22,46.69,48.51,42.4,46.0,"19,476,020"
2021-02-23,44.97,46.23,40.0,44.97,"7,565,215"
2021-02-24,44.7,91.71,44.7,91.71,"83,111,742"
2021-02-25,169.56,184.68,101.0,108.73,"150,308,797"
2021-02-26,117.46,142.9,86.0,101.74,"92,194,148"
2021-03-01,104.54,133.99,99.97,120.4,"49,793,969"
2021-03-02,116.93,133.2,112.2,118.18,"33,783,039"
2021-03-03,122.51,127.75,113.12,124.18,"19,273,881"
2021-03-04,125.0,147.87,115.3,132.35,"32,606,891"
2021-03-05,128.17,151.53,127.5,137.74,"30,733,670"
2021-03-08,154.89,210.87,146.1,194.5,"63,565,621"
2021-03-09,217.71,249.85,208.51,246.9,"39,099,328"
2021-03-10,269.43,348.5,172.0,265.0,"71,570,570"
2021-03-11,241.64,281.5,232.6,260.0,"28,312,490"
2021-03-12,275.0,295.5,262.27,264.5,"25,845,900"
