Date,Open,High,Low,Close,Adj Close,Volume,SMA,RSI,OBV
2011-11-11,300.950958,306.351349,299.599609,304.479492,304.479492,7946000.0,299.19961808333335,61.486908260548645,110111700.0
2011-11-14,304.304291,309.349335,304.194183,306.806793,306.806793,6371000.0,299.7972971666666,63.006736851321556,116482700.0
2011-11-15,306.706696,309.349335,305.555542,308.588593,308.588593,5346600.0,300.4821498333333,64.17245707986365,121829300.0
2011-11-16,306.346344,309.459473,305.610596,306.041046,306.041046,5211700.0,301.26751966666666,61.20290033743663,116617600.0
2011-11-17,305.330322,306.451447,298.68869,300.735748,300.735748,6979600.0,302.19428,55.448440567457176,109638000.0
2011-11-18,301.3013,302.552551,297.17218,297.737732,297.737732,6568800.0,302.61386616666664,52.4474424941617,103069200.0
2011-11-21,294.174164,294.544556,286.331329,290.760773,290.760773,5996500.0,301.9231770833333,46.183088885781864,97072700.0
2011-11-22,290.290283,292.777771,287.907898,290.290283,290.290283,4805700.0,301.2500025,45.78594032160235,92267000.0
2011-11-23,287.962952,290.415405,285.340332,285.340332,285.340332,4646900.0,299.6559066666667,41.72095103107868,87620100.0
2011-11-25,282.877869,287.422424,280.945953,281.781769,281.781769,3121600.0,297.5980148333333,39.037650122764354,84498500.0
2011-11-28,289.974976,294.704712,288.538544,294.389404,294.389404,5652100.0,297.06581625,51.049634720936965,90150600.0
2011-11-29,294.234222,295.475464,290.955963,291.756744,291.756744,3659900.0,296.55905908333335,48.88361592067768,86490700.0
2011-11-30,299.274261,300.055054,296.341339,299.994995,299.994995,6787200.0,296.185351,55.278219118735215,93277900.0
2011-12-01,300.300293,308.308319,299.799805,307.1922,307.1922,7233900.0,296.21746825,59.987578635190864,100511800.0
2011-12-02,308.833832,312.312317,308.438446,310.490479,310.490479,8163200.0,296.37595875000005,61.964286646975665,108675000.0
2011-12-05,314.134125,316.266266,311.511505,313.138153,313.138153,6388600.0,296.9673843333333,63.522182218730684,115063600.0
2011-12-06,311.806793,314.624634,310.43042,312.197205,312.197205,4648300.0,297.92250574999997,62.54178327762104,110415300.0
2011-12-07,311.151154,313.143158,309.359344,312.007019,312.007019,4510000.0,299.111613,62.332377470777146,105905300.0
2011-12-08,310.830841,314.039032,307.957947,308.333344,308.333344,4821300.0,300.5759939166667,58.273583054027725,101084000.0
2011-12-09,309.309296,314.879883,308.813812,314.024017,314.024017,5526800.0,302.5538050833333,62.362019545472606,106610800.0
2011-12-12,311.251251,313.403412,310.455444,313.007996,313.007996,4363400.0,304.85944375,61.208873571970805,102247400.0
2011-12-13,314.694702,318.598602,311.736725,313.128143,313.128143,8048300.0,307.47164158333334,61.30000537246716,110295700.0
2011-12-14,311.236237,312.472473,306.551544,309.34433,309.34433,7799500.0,308.71788541666666,56.77618661870786,102496200.0
2011-12-15,311.571564,312.312317,309.654663,310.080078,310.080078,4812300.0,310.2448299166667,57.4339834875167,107308500.0
2011-12-16,312.472473,314.974976,311.046051,313.293304,313.293304,8909600.0,311.3530223333333,60.277172562039304,116218100.0
2011-12-19,314.319305,314.564575,310.310303,311.226227,311.226227,4282700.0,311.68919124999996,57.611234944054885,111935400.0
2011-12-20,314.314301,316.236237,314.309296,315.500488,315.500488,4771600.0,312.106692,61.41174046570685,116707000.0
2011-12-21,315.320313,316.226227,309.789795,313.223236,313.223236,4990800.0,312.11378225,58.40711004948344,111716200.0
2011-12-22,314.289276,316.181183,313.818817,315.165161,315.165161,3640900.0,312.3611119166667,60.19556167412366,115357100.0
2011-12-23,316.316315,317.657654,315.595581,316.886902,316.886902,2904400.0,312.7677688333333,61.765329781092746,118261500.0
2011-12-27,316.341339,322.567566,316.316315,320.445435,320.445435,3209500.0,313.77710975,64.85070821549866,121471000.0
2011-12-28,321.696686,322.822815,319.369354,320.170166,320.170166,4250100.0,314.28928883333333,64.41766913856465,117220900.0
2011-12-29,321.066071,321.821808,317.917908,321.521515,321.521515,3147600.0,314.99874875,65.63098629112946,120368500.0
2011-12-30,321.331329,323.703705,321.331329,323.273285,323.273285,3561000.0,315.84417725,67.19271117059941,123929500.0
2012-01-03,326.796783,334.409424,326.511505,333.038025,333.038025,7345600.0,317.8186518333333,74.22382608407099,131275100.0
2012-01-04,332.847839,335.460449,330.640656,334.474487,334.474487,5722200.0,319.85151924999997,75.07025375523571,136997300.0
2012-01-05,331.396393,332.317322,328.443451,329.834839,329.834839,6559200.0,321.2299805,67.37463730706003,130438100.0
2012-01-06,329.904907,330.330322,325.220215,325.335327,325.335327,5380400.0,322.4057388333334,60.85888472705032,125057700.0
2012-01-09,323.573578,323.823822,310.925934,311.541534,311.541534,11633500.0,322.075826,46.13039307517442,113424200.0
2012-01-10,315.190186,317.217224,308.763763,311.881897,311.881897,8782400.0,321.96404775,46.47461411519357,122206600.0
2012-01-11,312.062073,315.01001,310.87088,313.293304,313.293304,4795200.0,321.8080596666667,47.959621654749405,127001800.0
2012-01-12,315.925934,316.761749,313.563568,315.135132,315.135132,3746600.0,321.66207883333334,49.91251949600543,130748400.0
2012-01-13,313.443451,313.788788,310.840851,312.8078,312.8078,4609900.0,321.02560925,47.48751537713349,126138500.0
2012-01-17,316.306305,316.306305,313.153168,314.604614,314.604614,3814700.0,320.56181325,49.52641842933461,129953200.0
2012-01-18,313.628632,317.317322,311.371368,316.771759,316.771759,5517800.0,320.16600025,51.949677496064815,135471000.0
2012-01-19,320.815826,320.815826,316.046051,320.105103,320.105103,12597900.0,319.90198508333333,55.48945136473703,148068900.0
2012-01-20,295.560547,295.795807,291.141144,293.2883,293.2883,21131400.0,316.589508,33.87117621098177,126937500.0
2012-01-23,293.293304,294.624634,291.871857,293.05304,293.05304,6818900.0,313.13772075,33.74696206236206,120118600.0
2012-01-24,293.453461,294.134125,289.289276,290.755768,290.755768,6105400.0,309.8811315,32.493847056254694,114013200.0
2012-01-25,289.044037,289.644653,283.47348,285.030029,285.030029,9965400.0,306.52235666666667,29.5487527072344,104047800.0
2012-01-26,286.276276,287.527527,282.557556,284.33432,284.33432,6445900.0,304.25508883333333,29.20241671108255,97601900.0
2012-01-27,285.67569,290.450439,284.949951,290.280273,290.280273,7227700.0,302.45495350000004,36.096286960426056,104829600.0
2012-01-30,289.314301,290.290283,286.987,289.134125,289.134125,4656300.0,300.4416885833333,35.38109947084922,100173300.0
2012-01-31,291.791779,292.292297,287.862854,290.345337,290.345337,4280500.0,298.37587233333335,36.80604114732508,104453800.0
2012-02-01,292.762756,293.04303,289.859863,290.705719,290.705719,4636700.0,296.53403225,37.24942801194365,109090500.0
2012-02-02,292.727722,293.498505,291.331329,292.847839,292.847839,4824500.0,294.7209676666667,39.94660955807619,113915000.0
2012-02-03,295.625641,298.833832,294.319305,298.46347,298.46347,6330600.0,293.1952769166666,46.44534912662328,120245600.0
2012-02-06,297.802795,305.720734,297.302307,304.849854,304.849854,7351800.0,291.92400616666663,52.71261410570112,127597400.0
2012-02-07,303.878876,305.0,302.18219,303.68869,303.68869,4180000.0,292.79070533333334,51.53180568130143,123417400.0
2012-02-08,304.624634,305.980988,302.672668,305.230225,305.230225,3669100.0,293.80547075,53.03590111534538,127086500.0
2012-02-09,306.316315,307.557556,304.80481,306.036041,306.036041,4524800.0,295.0788268333333,53.84226345542697,131611300.0
2012-02-10,304.244232,304.369354,302.302307,303.25827,303.25827,4645700.0,296.5978469166667,50.61601765501043,126965600.0
2012-02-13,305.555542,307.227234,305.315308,306.406403,306.406403,3628900.0,298.43718716666666,53.981504339811664,130594500.0
2012-02-14,306.07608,306.306305,302.682678,305.185181,305.185181,3603700.0,299.6792628333333,52.48719214965671,126990800.0
2012-02-15,306.771759,306.771759,301.581573,303.083069,303.083069,4846900.0,300.84167483333334,49.925288150347676,122143900.0
2012-02-16,301.7117,304.709717,299.164154,303.563568,303.563568,5056700.0,301.9431940833333,50.51980238404301,127200600.0
2012-02-17,302.787781,304.11911,301.501495,302.62262,302.62262,4893300.0,302.93626916666665,49.28577940868092,122307300.0
2012-02-21,302.237244,309.249237,301.74173,307.307312,307.307312,4956600.0,304.14122525,55.15852987317291,127263900.0
2012-02-22,306.286285,308.6987,303.658661,304.274261,304.274261,3930000.0,304.6254578333333,51.03768634416844,123333900.0
2012-02-23,303.803802,304.274261,300.475464,303.358368,303.358368,4105800.0,304.50116733333334,49.827119068577595,119228100.0
2012-02-24,303.978973,306.131134,303.058044,305.255249,305.255249,3867300.0,304.6317139166667,52.34803738411509,123095400.0
2012-02-27,303.598602,306.486481,302.832825,304.959961,304.959961,3624100.0,304.6091919166667,51.91077946872019,119471300.0
2012-02-28,305.305298,310.19519,304.144135,309.504517,309.504517,5689500.0,304.89823158333337,57.75874061231471,125160800.0
2012-02-29,309.609619,313.113098,308.058044,309.434448,309.434448,6267500.0,305.4129130833333,57.64235010452994,118893300.0
2012-03-01,311.441437,313.163177,309.384399,311.511505,311.511505,4470900.0,305.83833825,60.20248573354458,123364200.0
2012-03-02,311.31131,312.312317,310.470459,310.935944,310.935944,3143400.0,306.3175685,59.1358657804452,120220800.0
2012-03-05,310.525513,311.556549,305.996002,307.432434,307.432434,3183400.0,306.68001558333333,52.98235171164713,117037400.0
2012-03-06,304.329315,304.709717,297.217224,302.782776,302.782776,6342400.0,306.6149495833333,46.12287561950406,110695000.0
2012-03-07,304.829834,305.900909,303.233246,303.703705,303.703705,2526400.0,306.70504,47.570725017871204,113221400.0
2012-03-08,305.325317,306.056061,303.478485,303.873871,303.873871,2688300.0,306.41891991666665,47.849598974957075,115909700.0
2012-03-09,304.279266,306.256256,300.300293,300.425415,300.425415,5335800.0,306.09818275000003,42.87277496444091,110573900.0
2012-03-12,300.300293,303.803802,299.929932,302.877869,302.877869,3334600.0,306.05814116666664,47.087714659383444,113908500.0
2012-03-13,304.679688,309.234222,303.078064,309.199188,309.199188,4487100.0,306.38680274999996,56.082269024809484,118395600.0
2012-03-14,307.8078,311.701691,307.037048,308.303314,308.303314,5867900.0,306.6654155,54.664032371165895,112527700.0
2012-03-15,308.608612,312.062073,307.722717,310.875885,310.875885,4865300.0,306.77969616666667,57.952323434357496,117393000.0
2012-03-16,310.755768,313.26828,310.335327,312.832825,312.832825,6094800.0,307.06289425,60.3106101736272,123487800.0
2012-03-19,311.871857,318.953949,310.930939,317.307312,317.307312,4341200.0,307.5458781666667,65.12673407477278,127829000.0
2012-03-20,315.775787,318.348358,313.948944,317.062073,317.062073,3077900.0,308.05638891666666,64.66359222556437,124751100.0
2012-03-21,317.62262,324.019012,316.571564,320.310303,320.310303,4934200.0,309.1295446666666,67.91790550834713,129685300.0
2012-03-22,319.56958,324.724731,315.815826,323.348358,323.348358,4815500.0,310.84334316666667,70.64128146184554,134500800.0
2012-03-23,323.623627,324.574585,320.770782,321.616608,321.616608,3876500.0,312.33608508333333,67.14250135017957,130624300.0
2012-03-26,322.822815,325.070068,320.090088,324.98999,324.98999,3634700.0,314.09576166666665,70.23512552197894,134259000.0
2012-03-27,323.838837,327.077087,322.722717,323.833832,323.833832,4010300.0,316.0464630833333,67.87708019792606,130248700.0
2012-03-28,326.341339,329.624634,325.865875,328.208221,328.208221,5072700.0,318.15732575,71.74265463559576,135321400.0
2012-03-29,327.047058,328.623627,322.472473,324.529541,324.529541,3844700.0,319.43485516666664,64.6923007298682,131476700.0
2012-03-30,326.201202,327.072083,320.820831,320.940948,320.940948,4616700.0,320.4879913333333,58.63843576291372,126860000.0
2012-04-02,320.705719,324.074066,317.737732,323.783783,323.783783,4563800.0,321.5636495,61.696396451254344,131423800.0
2012-04-03,323.028015,324.299286,319.639648,321.631622,321.631622,4085700.0,322.29688258333334,58.18900940266308,127338100.0
2012-04-04,319.544556,319.819824,315.865875,317.892883,317.892883,3251900.0,322.3456801666667,52.595230081014506,124086200.0
2012-04-05,316.436432,318.533539,314.599609,316.476471,316.476471,4632700.0,322.29688,50.61026835138434,119453500.0
2012-04-09,314.554565,317.982971,312.957947,315.735748,315.735748,4361000.0,321.91566708333335,49.5569461680838,115092500.0
2012-04-10,317.077087,317.567566,312.587585,313.743744,313.743744,4959000.0,321.11528258333334,46.73968302951936,110133500.0
2012-04-11,317.302307,318.318329,315.965973,318.298309,318.298309,4393600.0,320.8387576666667,53.27958119180947,114527100.0
2012-04-12,321.49649,326.896912,320.450439,325.830841,325.830841,11501600.0,320.90882858333333,61.66368058252781,126028700.0
2012-04-13,324.099091,324.819824,312.082092,312.61261,312.61261,16302200.0,319.97372675,46.04755476857544,109726500.0
2012-04-16,311.811798,312.217224,301.131134,303.338348,303.338348,11372800.0,317.9012373333333,38.651488606501744,98353700.0
2012-04-17,304.584595,309.154144,303.808807,305.090088,305.090088,6041700.0,316.28128291666667,40.59242372638862,104395400.0
2012-04-18,304.329315,306.706696,301.706696,304.029022,304.029022,5333600.0,314.87195575000004,39.771622988678885,99061800.0
2012-04-19,303.148163,308.438446,299.799805,299.949951,299.949951,6582600.0,312.8858030833333,36.69938346063037,92479200.0
2012-04-20,302.427429,304.729736,298.213226,298.328339,298.328339,6110600.0,310.9438628333333,35.5245384654457,86368600.0
2012-04-23,296.746735,299.524536,295.395386,299.099091,299.099091,4391200.0,309.37771349999997,36.56400368460698,90759800.0
2012-04-24,299.419434,303.618622,298.958954,300.935944,300.935944,3854300.0,308.08266958333337,39.08450932917469,94614100.0
